YearMonth,Grid_X,Grid_Y,Crime_Count
2021-01,451,4628,32
2021-01,452,4616,1
2021-01,452,4617,16
2021-01,452,4618,23
2021-01,452,4619,25
2021-01,452,4620,30
2021-01,452,4621,26
2021-01,452,4622,50
2021-01,452,4623,76
2021-01,452,4624,105
2021-01,452,4625,1
2021-01,453,4611,3
2021-01,453,4612,6
2021-01,453,4616,14
2021-01,453,4617,12
2021-01,453,4618,17
2021-01,453,4619,30
2021-01,453,4620,25
2021-01,453,4621,48
2021-01,453,4622,103
2021-01,453,4623,88
2021-01,454,4610,4
2021-01,454,4611,14
2021-01,454,4612,4
2021-01,454,4613,1
2021-01,454,4616,5
2021-01,454,4617,2
2021-01,454,4618,2
2021-01,454,4619,25
2021-01,454,4620,39
2021-01,454,4621,39
2021-01,454,4622,23
2021-01,455,4610,1
2021-01,455,4611,3
2021-01,455,4614,4
2021-01,455,4615,13
2021-01,455,4616,12
2021-01,455,4617,23
2021-01,455,4618,10
2021-01,455,4619,2
2021-01,456,4611,4
2021-01,456,4615,2
2021-01,456,4616,3
2021-01,456,4617,2
2021-02,422,4651,1
2021-02,423,4645,1
2021-02,423,4650,1
2021-02,424,4645,3
2021-02,424,4647,8
2021-02,425,4645,1
2021-02,425,4647,36
2021-02,425,4648,1
2021-02,426,4645,1
2021-02,426,4647,9
2021-02,426,4648,1
2021-02,426,4649,11
2021-02,429,4646,4
2021-02,429,4647,1
2021-02,430,4643,3
2021-02,430,4644,3
2021-02,430,4645,5
2021-02,430,4646,5
2021-02,430,4647,24
2021-02,430,4648,2
2021-02,431,4643,9
2021-02,431,4644,3
2021-02,431,4647,2
2021-02,431,4648,3
2021-02,432,4642,3
2021-02,432,4643,8
2021-02,432,4644,11
2021-02,432,4647,6
2021-02,432,4648,8
2021-02,432,4649,4
2021-02,432,4650,6
2021-02,432,4651,7
2021-02,433,4625,2
2021-02,433,4626,7
2021-02,433,4627,3
2021-02,433,4640,8
2021-02,433,4641,8
2021-02,433,4642,9
2021-02,433,4643,13
2021-02,433,4644,13
2021-02,433,4645,1
2021-02,433,4646,2
2021-02,433,4647,8
2021-02,433,4648,5
2021-02,433,4649,7
2021-02,433,4651,2
2021-02,434,4625,16
2021-02,434,4626,1
2021-02,434,4627,7
2021-02,434,4640,10
2021-02,434,4641,18
2021-02,434,4642,14
2021-02,434,4643,13
2021-02,434,4644,10
2021-02,434,4645,2
2021-02,434,4647,5
2021-02,434,4648,11
2021-02,434,4649,9
2021-02,434,4650,1
2021-02,434,4651,1
2021-02,435,4625,16
2021-02,435,4626,6
2021-02,435,4627,3
2021-02,435,4635,6
2021-02,435,4636,11
2021-02,435,4637,9
2021-02,435,4638,9
2021-02,435,4639,14
2021-02,435,4640,21
2021-02,435,4641,29
2021-02,435,4642,22
2021-02,435,4643,17
2021-02,435,4644,10
2021-02,435,4645,11
2021-02,435,4646,9
2021-02,435,4647,6
2021-02,435,4648,14
2021-02,435,4649,2
2021-02,435,4650,3
2021-02,436,4625,13
2021-02,436,4626,4
2021-02,436,4627,7
2021-02,436,4635,4
2021-02,436,4636,70
2021-02,436,4637,55
2021-02,436,4638,43
2021-02,436,4639,42
2021-02,436,4640,23
2021-02,436,4641,31
2021-02,436,4642,24
2021-02,436,4643,22
2021-02,436,4644,28
2021-02,436,4645,13
2021-02,436,4646,16
2021-02,436,4647,17
2021-02,436,4648,10
2021-02,436,4649,2
2021-02,436,4650,4
2021-02,437,4625,6
2021-02,437,4627,13
2021-02,437,4628,10
2021-02,437,4629,1
2021-02,437,4635,4
2021-02,437,4636,82
2021-02,437,4637,49
2021-02,437,4638,60
2021-02,437,4639,40
2021-02,437,4640,45
2021-02,437,4641,21
2021-02,437,4642,26
2021-02,437,4643,26
2021-02,437,4644,17
2021-02,437,4645,21
2021-02,437,4646,8
2021-02,437,4647,13
2021-02,437,4649,3
2021-02,438,4615,1
2021-02,438,4620,3
2021-02,438,4621,4
2021-02,438,4622,16
2021-02,438,4624,4
2021-02,438,4625,15
2021-02,438,4626,19
2021-02,438,4627,24
2021-02,438,4628,13
2021-02,438,4629,2
2021-02,438,4631,1
2021-02,438,4632,1
2021-02,438,4633,2
2021-02,438,4634,4
2021-02,438,4635,15
2021-02,438,4636,103
2021-02,438,4637,31
2021-02,438,4638,15
2021-02,438,4639,20
2021-02,438,4640,37
2021-02,438,4641,23
2021-02,438,4642,27
2021-02,438,4643,18
2021-02,438,4644,14
2021-02,438,4645,5
2021-02,438,4646,8
2021-02,438,4647,1
2021-02,438,4648,10
2021-02,438,4649,2
2021-02,439,4614,1
2021-02,439,4620,4
2021-02,439,4621,10
2021-02,439,4622,17
2021-02,439,4623,2
2021-02,439,4624,9
2021-02,439,4625,18
2021-02,439,4626,14
2021-02,439,4627,15
2021-02,439,4628,21
2021-02,439,4629,12
2021-02,439,4631,6
2021-02,439,4632,30
2021-02,439,4633,37
2021-02,439,4634,46
2021-02,439,4635,71
2021-02,439,4636,138
2021-02,439,4637,29
2021-02,439,4638,35
2021-02,439,4639,82
